DepAirportCode,DepSchedDate,DepSchedTime,DepActualDate,DepActualTime,DepStatusCode,DepStatusDesc,ArrivalAirportCode,ArrSchedDate,ArrSchedTime,ArrActualDate,ArrActualTime,ArrStatusCode,ArrStatusDesc,OpAirlineID,OpFlightNumber,AircraftCode,MarkAirlineID,MarkFlightNumber
FRA,2023-07-06,10:45,2023-07-06,11:39,DP,Flight Departed,SEA,2023-07-06,12:20,2023-07-06,12:48,LD,Flight Landed,LH,490,333,,
SEA,2023-07-06,14:20,2023-07-06,14:40,DP,Flight Departed,FRA,2023-07-07,09:20,2023-07-07,09:30,OT,Flight On Time,LH,491,333,,
FRA,2023-07-06,13:20,2023-07-06,13:40,DP,Flight Departed,YVR,2023-07-06,14:15,2023-07-06,14:40,LD,Flight Landed,LH,492,744,,
YVR,2023-07-06,16:25,2023-07-06,16:25,OT,Flight On Time,FRA,2023-07-07,10:55,2023-07-07,10:55,OT,Flight On Time,LH,493,744,,
MUC,2023-07-06,15:50,2023-07-06,16:33,DP,Flight Departed,YYZ,2023-07-06,18:40,2023-07-06,18:46,OT,Flight On Time,LH,494,359,AC,9603
YYZ,2023-07-06,20:30,2023-07-06,20:30,OT,Flight On Time,MUC,2023-07-07,10:15,2023-07-07,10:15,OT,Flight On Time,LH,495,359,AC,9614
FRA,2023-07-06,13:35,2023-07-06,14:25,DP,Flight Departed,MEX,2023-07-06,17:30,2023-07-06,17:39,OT,Flight On Time,LH,498,74H,,
MEX,2023-07-06,19:50,2023-07-06,19:50,OT,Flight On Time,FRA,2023-07-07,14:45,2023-07-07,14:45,OT,Flight On Time,LH,499,74H,,
MUC,2023-07-06,12:15,2023-07-06,12:40,DP,Flight Departed,GIG,2023-07-06,19:05,2023-07-06,19:40,LD,Flight Landed,LH,500,359,,
GIG,2023-07-06,20:50,,,DL,Flight Delayed,MUC,2023-07-07,13:15,2023-07-07,13:50,DL,Flight Delayed,LH,501,359,,
FRA,2023-07-06,22:05,2023-07-06,22:30,DP,Flight Departed,GRU,2023-07-07,04:50,2023-07-07,05:15,DL,Flight Delayed,LH,506,74H,,
GRU,2023-07-06,18:15,2023-07-06,18:18,DP,Flight Departed,FRA,2023-07-07,10:45,2023-07-07,10:11,FE,Flight Early,LH,507,74H,,
FRA,2023-07-06,21:40,2023-07-06,22:39,DP,Flight Departed,EZE,2023-07-07,06:25,2023-07-07,07:07,DL,Flight Delayed,LH,510,74H,,
EZE,2023-07-06,16:45,2023-07-06,16:34,DP,Flight Departed,FRA,2023-07-07,11:00,2023-07-07,09:57,FE,Flight Early,LH,511,74H,,
FRA,2023-07-06,13:55,2023-07-06,14:08,DP,Flight Departed,SJO,2023-07-06,17:55,2023-07-06,17:43,OT,Flight On Time,LH,518,343,,
SJO,2023-07-06,19:45,2023-07-06,19:45,OT,Flight On Time,FRA,2023-07-07,15:05,2023-07-07,15:05,OT,Flight On Time,LH,519,343,,
FRA,2023-07-06,13:35,2023-07-06,14:41,DP,Flight Departed,BOG,2023-07-06,17:55,2023-07-06,18:52,DL,Flight Delayed,LH,542,346,,
BOG,2023-07-06,23:30,2023-07-06,23:30,OT,Flight On Time,FRA,2023-07-07,17:40,2023-07-07,17:40,OT,Flight On Time,LH,543,346,,
FRA,2023-07-06,22:00,2023-07-06,22:02,DP,Flight Departed,LAD,2023-07-07,05:30,2023-07-07,05:20,OT,Flight On Time,LH,560,333,,
FRA,2023-07-06,11:15,2023-07-06,11:46,DP,Flight Departed,LOS,2023-07-06,16:45,2023-07-06,17:09,LD,Flight Landed,LH,568,333,,
LOS,2023-07-06,17:30,2023-07-06,17:44,DP,Flight Departed,SSG,2023-07-06,19:05,2023-07-06,19:16,LD,Flight Landed,LH,568,333,,
SSG,2023-07-06,20:20,2023-07-06,20:32,DP,Flight Departed,LOS,2023-07-06,21:50,2023-07-06,22:00,LD,Flight Landed,LH,569,333,,
LOS,2023-07-06,23:00,2023-07-06,23:05,DP,Flight Departed,FRA,2023-07-07,06:30,2023-07-07,06:31,OT,Flight On Time,LH,569,333,,
JNB,2023-07-06,19:00,,,NO,No Status,FRA,2023-07-07,05:35,,,NO,No Status,LH,573,74H,,
FRA,2023-07-06,22:15,2023-07-06,22:27,DP,Flight Departed,CPT,2023-07-07,09:55,2023-07-07,10:05,OT,Flight On Time,LH,576,343,UA,9574
CPT,2023-07-06,17:45,2023-07-06,17:41,DP,Flight Departed,FRA,2023-07-07,05:30,2023-07-07,05:07,FE,Flight Early,LH,577,343,UA,9587
MUC,2023-07-06,21:30,2023-07-06,21:50,DP,Flight Departed,CAI,2023-07-07,02:10,2023-07-07,02:16,OT,Flight On Time,LH,586,32Q,,
CAI,2023-07-06,03:10,2023-07-06,03:47,DP,Flight Departed,MUC,2023-07-06,06:05,2023-07-06,06:18,LD,Flight Landed,LH,587,32M,,
FRA,2023-07-06,11:25,2023-07-06,11:47,DP,Flight Departed,NBO,2023-07-06,21:30,2023-07-06,21:48,LD,Flight Landed,LH,590,333,,
NBO,2023-07-06,23:15,2023-07-06,23:31,DP,Flight Departed,FRA,2023-07-07,07:30,2023-07-07,07:09,FE,Flight Early,LH,591,333,,
FRA,2023-07-06,11:15,2023-07-06,11:43,DP,Flight Departed,ABV,2023-07-06,16:20,2023-07-06,16:42,LD,Flight Landed,LH,594,343,,
ABV,2023-07-06,17:05,2023-07-06,17:21,DP,Flight Departed,PHC,2023-07-06,18:15,2023-07-06,18:27,LD,Flight Landed,LH,594,343,UA,9002
PHC,2023-07-06,20:00,2023-07-06,19:43,DP,Flight Departed,ABV,2023-07-06,21:10,2023-07-06,20:59,LD,Flight Landed,LH,595,343,UA,9021
ABV,2023-07-06,22:20,2023-07-06,22:35,DP,Flight Departed,FRA,2023-07-07,05:30,2023-07-07,05:15,FE,Flight Early,LH,595,343,,
